Name1,Name2,Equivalent
Send letter of rejection,Send letter of rejection,True
Rejected,Rejected,True
Check documents,Check documents,True
Wait for results,Wait for results,True
Send documents by post,Send online protocol,True
Apply online,Apply online,True
Accepted,Accepted,True
Send letter of acceptance,Send letter of acceptance,True
Send letter of rejection,Send letter of rejection,True
Rejected,Rejected,True
Check documents,Check documents,True
Wait for results,Wait for results,True
Send online protocol,Send documents by post,True
Apply online,Apply online,True
Accepted,Accepted,True
Send letter of acceptance,Send letter of acceptance,True
Send letter of rejection,Send rejection,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Send letter of acceptance,Send acceptance,True
Send rejection,Send letter of rejection,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Send acceptance,Send letter of acceptance,True
Evaluate,Assessment of application,True
Send documents by post,Send all the requirements to the secretarial office for students,True
Rejected,Rejection,True
Assessment of application,Evaluate,True
Send all the requirements to the secretarial office for students,Send documents by post,True
Rejection,Rejected,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Evaluate,Evaluate,True
Send letter of rejection,Send letter of rejection,True
Send letter of acceptance,Send letter of acceptance,True
Apply online,Apply online,True
Send documents by post,Send documents by post,True
Accepted,Accepted,True
Accepted,Accepted,True
Rejected,Rejected,True
Rejected,Rejected,True
Evaluate,Evaluate,True
Send letter of rejection,Send letter of rejection,True
Send letter of acceptance,Send letter of acceptance,True
Apply online,Apply online,True
Send documents by post,Send documents by post,True
Accepted,Accepted,True
Accepted,Accepted,True
Rejected,Rejected,True
Rejected,Rejected,True
Rejected,Receive rejection,True
Wait for results,Waiting for response,True
Accepted,Receive Commitment,True
Receive rejection,Rejected,True
Waiting for response,Wait for results,True
Receive Commitment,Accepted,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Wait for results,Waiting for the response,True
Rejected,Rejection,True
Waiting for the response,Wait for results,True
Rejection,Rejected,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Rejected,Receive rejection,True
Receive rejection,Rejected,True
Rejected,Receive rejection,True
Accepted,Receive acceptance,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Apply online,Apply online,True
Send online protocol,Send documents by post,True
Wait for results,Wait for results,True
Accepted,Accepted,True
Accepted,Accepted,True
Rejected,Rejected,True
Rejected,Rejected,True
Evaluate,Evaluate,True
Send letter of rejection,Send letter of rejection,True
Send letter of rejection,Send letter of rejection,True
Send letter of acceptance,Send letter of acceptance,True
Send letter of acceptance,Send letter of acceptance,True
Apply online,Apply online,True
Send documents by post,Send online protocol,True
Wait for results,Wait for results,True
Accepted,Accepted,True
Accepted,Accepted,True
Rejected,Rejected,True
Rejected,Rejected,True
Evaluate,Evaluate,True
Send letter of rejection,Send letter of rejection,True
Send letter of rejection,Send letter of rejection,True
Send letter of acceptance,Send letter of acceptance,True
Send letter of acceptance,Send letter of acceptance,True
Rejected,Receive rejection,True
Wait for results,Waiting for response,True
Accepted,Receive Commitment,True
Receive rejection,Rejected,True
Waiting for response,Wait for results,True
Receive Commitment,Accepted,True
Send application,Send all the requirements to the secretarial office for students,True
Receive rejection,Rejection,True
Immatriculate,Enrollment,True
Send online protocol,Checking if complete,True
Hand application over to examining board,Send documents to selection committee,True
Send all the requirements to the secretarial office for students,Send application,True
Rejection,Receive rejection,True
Enrollment,Immatriculate,True
Checking if complete,Send online protocol,True
Send documents to selection committee,Hand application over to examining board,True
Add certificate of German language,Add certificate of German language,True
Send online protocol,Check application complete,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Immatriculate,Immatriculate,True
Take&#10;interview,Take&#10;interview,True
Talk to applicant,Appoint applicant,True
Fill out application&#10;form,Fill out application form,True
Hand application over to examining board,Hand application over to examining board,True
Send acceptance,Send acceptance,True
Check application in time,Send online protocol,True
Receive rejection,Receive rejection,True
Complete application,Complete application,True
Add certificate of Bachelor degree,Add certificate of bachelor degree,True
Add certificate of German language,Add certificate of German language,True
Check application complete,Send online protocol,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Immatriculate,Immatriculate,True
Take&#10;interview,Take&#10;interview,True
Appoint applicant,Talk to applicant,True
Fill out application form,Fill out application&#10;form,True
Hand application over to examining board,Hand application over to examining board,True
Send acceptance,Send acceptance,True
Send online protocol,Check application in time,True
Receive rejection,Receive rejection,True
Complete application,Complete application,True
Add certificate of bachelor degree,Add certificate of Bachelor degree,True
Send application,Send application form and documents,True
Send online protocol,Check application complete,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Immatriculate,Enrollment,True
Take&#10;interview,Take interview,True
Talk to applicant,Do the interview,True
Hand application over to examining board,Send application to selection committee,True
Send acceptance,Send acceptance,True
Receive rejection,Receive rejection,True
Send application form and documents,Send application,True
Check application complete,Send online protocol,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Enrollment,Immatriculate,True
Take interview,Take&#10;interview,True
Do the interview,Talk to applicant,True
Send application to selection committee,Hand application over to examining board,True
Send acceptance,Send acceptance,True
Receive rejection,Receive rejection,True
Add certificate of German language,Add certificate of German language,True
Send application,Send application,True
Send online protocol,Check application complete,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Immatriculate,Immatriculate,True
Set additional requirements,Set additional requirements,True
Fill out application&#10;form,Fill out application form,True
Hand application over to examining board,Hand application over to examining board,True
Send acceptance,Send acceptance,True
Check application in time,Send online protocol,True
Receive rejection,Receive rejection,True
Complete application,Complete application,True
Add certificate of Bachelor degree,Add certificate of bachelor degree,True
Add certificate of German language,Add certificate of German language,True
Send application,Send application,True
Check application complete,Send online protocol,True
Send rejection,Send rejection,True
Receive acceptance,Receive acceptance,True
Immatriculate,Immatriculate,True
Set additional requirements,Set additional requirements,True
Fill out application form,Fill out application&#10;form,True
Hand application over to examining board,Hand application over to examining board,True
Send acceptance,Send acceptance,True
Send online protocol,Check application in time,True
Receive rejection,Receive rejection,True
Complete application,Complete application,True
Add certificate of bachelor degree,Add certificate of Bachelor degree,True
Receive rejection,Rejected,True
Receive rejection,Rejected,True
Receive acceptance,Accepted,True
Receive acceptance,Accepted,True
Take&#10;interview,Go to the interview,True
Talk to applicant,Conduct interview,True
